# Data output for iteration400
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                -0.4                -0.4             34036.3                   0                   0             1069.03
                -0.4                -0.2             30885.7                   0                   0             1063.67
                -0.2                -0.4             27903.3                   0                   0             1058.45
                -0.2                -0.2             23367.6                   0                   0              1050.2
                   0                -0.4             31456.3                   0                   0             1064.66
                   0                -0.2             28056.4                   0                   0             1058.72
                 0.2                -0.4             34864.1                   0                   0             1070.41
                 0.2                -0.2             29746.8                   0                   0              1061.7
                 0.4                -0.4             31781.7                   0                   0             1065.21
                 0.4                -0.2             25334.8                   0                   0             1053.82
                 0.6                -0.4             35402.2                   0                   0              1071.3
                 0.6                -0.2             28433.3                   0                   0             1059.39
                 0.8                -0.4             38172.8                   0                   0             1075.83
                 0.8                -0.2             31195.8                   0                   0             1064.21
                   1                -0.4             38272.1                   0                   0             1075.99
                   1                -0.2             31214.7                   0                   0             1064.24
                 1.2                -0.4             35546.5                   0                   0             1071.54
                 1.2                -0.2             28548.6                   0                   0             1059.59
                 1.4                -0.4             35854.4                   0                   0             1072.05
                 1.4                -0.2             30570.9                   0                   0             1063.13
                 1.6                -0.4             35282.2                   0                   0             1071.11
                 1.6                -0.2             30946.9                   0                   0             1063.78
                 1.8                -0.4             34423.5                   0                   0             1069.68
                 1.8                -0.2             29745.3                   0                   0              1061.7
                   2                -0.4             34441.8                   0                   0             1069.71
                   2                -0.2             30040.6                   0                   0             1062.21
                 2.2                -0.4               34160                   0                   0             1069.24
                 2.2                -0.2             29865.5                   0                   0              1061.9
                 2.4                -0.4             33861.5                   0                   0             1068.74
                 2.4                -0.2             29830.5                   0                   0             1061.84
                 2.6                -0.4             33131.7                   0                   0             1067.51
                 2.6                -0.2             28825.7                   0                   0             1060.08
                 2.8                -0.4             32525.9                   0                   0             1066.48
                 2.8                -0.2             28134.9                   0                   0             1058.86
                   3                -0.4             31991.5                   0                   0             1065.57
                   3                -0.2             27758.3                   0                   0             1058.19
                 3.2                -0.4             31698.4                   0                   0             1065.07
                 3.2                -0.2             28026.3                   0                   0             1058.67
                 3.4                -0.4             31566.6                   0                   0             1064.85
                 3.4                -0.2             28775.6                   0                   0             1059.99
                 3.6                -0.4             31360.8                   0                   0             1064.49
                 3.6                -0.2             29461.5                   0                   0              1061.2
                 3.8                -0.4             31093.4                   0                   0             1064.03
                 3.8                -0.2               30111                   0                   0             1062.33
                   4                -0.4             30758.2                   0                   0             1063.45
                   4                -0.2             30700.9                   0                   0             1063.36
                 4.2                -0.4             30394.8                   0                   0             1062.83
                 4.2                -0.2             31301.4                   0                   0             1064.39
                 4.4                -0.4             30026.8                   0                   0             1062.19
                 4.4                -0.2               32044                   0                   0             1065.66
                 4.6                -0.4             29591.2                   0                   0             1061.43
                 4.6                -0.2             32750.5                   0                   0             1066.86
                 4.8                -0.4             29025.2                   0                   0             1060.43
                 4.8                -0.2             33649.7                   0                   0             1068.38
                   5                -0.4               28289                   0                   0             1059.13
                   5                -0.2             34441.5                   0                   0             1069.71
                 5.2                -0.4             27372.1                   0                   0              1057.5
                 5.2                -0.2             34943.5                   0                   0             1070.54
                 5.4                -0.4               26300                   0                   0             1055.58
                 5.4                -0.2             35000.7                   0                   0             1070.64
                 5.6                -0.4               25119                   0                   0             1053.43
                 5.6                -0.2             34582.5                   0                   0             1069.94
                 5.8                -0.4             23880.8                   0                   0             1051.15
                 5.8                -0.2               33810                   0                   0             1068.65
                   6                -0.4             22621.2                   0                   0              1048.8
                   6                -0.2               32842                   0                   0             1067.02
                 6.2                -0.4             21359.5                   0                   0             1046.41
                 6.2                -0.2             31778.9                   0                   0             1065.21
                 6.4                -0.4             20105.9                   0                   0             1044.01
                 6.4                -0.2             30649.4                   0                   0             1063.27
                 6.6                -0.4             18875.3                   0                   0             1041.62
                 6.6                -0.2               29466                   0                   0             1061.21
                 6.8                -0.4             17681.9                   0                   0             1039.26
                 6.8                -0.2             28216.3                   0                   0             1059.01
                   7                -0.4               16548                   0                   0                1037
                   7                -0.2             26918.2                   0                   0             1056.69
                 7.2                -0.4             15508.1                   0                   0              1034.9
                 7.2                -0.2             25627.3                   0                   0             1054.36
                 7.4                -0.4             14561.6                   0                   0             1032.96
                 7.4                -0.2             24337.6                   0                   0             1051.99
                 7.6                -0.4             13727.4                   0                   0             1031.23
                 7.6                -0.2             23138.3                   0                   0             1049.77
                 7.8                -0.4             13010.6                   0                   0             1029.74
                 7.8                -0.2             22204.5                   0                   0             1048.01
                   8                -0.4             12419.3                   0                   0             1028.49
                   8                -0.2             21260.2                   0                   0             1046.22
                 8.2                -0.4             11928.1                   0                   0             1027.45
                 8.2                -0.2             20446.1                   0                   0             1044.66
                 8.4                -0.4             11528.7                   0                   0              1026.6
                 8.4                -0.2             19765.1                   0                   0             1043.35
                 8.6                -0.4             11208.4                   0                   0             1025.92
                 8.6                -0.2             19206.1                   0                   0             1042.26
                 8.8                -0.4             10954.1                   0                   0             1025.37
                 8.8                -0.2             18753.4                   0                   0             1041.38
                   9                -0.4             10753.5                   0                   0             1024.94
                   9                -0.2             18389.7                   0                   0             1040.66
                 9.2                -0.4             10595.8                   0                   0              1024.6
                 9.2                -0.2             18098.4                   0                   0             1040.09
                 9.4                -0.4             10471.6                   0                   0             1024.33
                 9.4                -0.2             17864.6                   0                   0             1039.63
                 9.6                -0.4             10373.2                   0                   0             1024.12
                 9.6                -0.2             17675.8                   0                   0             1039.25
                 9.8                -0.4             10294.1                   0                   0             1023.94
                 9.8                -0.2             17521.5                   0                   0             1038.95
                  10                -0.4             10228.9                   0                   0              1023.8
                  10                -0.2             17393.7                   0                   0             1038.69
                10.2                -0.4             10173.3                   0                   0             1023.68
                10.2                -0.2             17286.3                   0                   0             1038.48
                10.4                -0.4               10124                   0                   0             1023.58
                10.4                -0.2             17195.6                   0                   0              1038.3
                10.6                -0.4             10078.9                   0                   0             1023.48
                10.6                -0.2             17120.1                   0                   0             1038.15
                10.8                -0.4             10036.8                   0                   0             1023.39
                10.8                -0.2             17060.6                   0                   0             1038.03
                  11                -0.4              9998.1                   0                   0              1023.3
                  11                -0.2             17020.2                   0                   0             1037.95
                11.2                -0.4             9964.37                   0                   0             1023.23
                11.2                -0.2             17003.7                   0                   0             1037.91
                11.4                -0.4              9938.7                   0                   0             1023.17
                11.4                -0.2             17017.3                   0                   0             1037.94
                11.6                -0.4             9925.44                   0                   0             1023.14
                11.6                -0.2             17067.2                   0                   0             1038.04
                11.8                -0.4             9929.82                   0                   0             1023.15
                11.8                -0.2             17158.9                   0                   0             1038.22
                  12                -0.4             9957.44                   0                   0             1023.21
                  12                -0.2             17295.1                   0                   0              1038.5
                12.2                -0.4             10013.4                   0                   0             1023.33
                12.2                -0.2             17474.7                   0                   0             1038.85
                12.4                -0.4             10101.6                   0                   0             1023.53
                12.4                -0.2             17691.8                   0                   0             1039.28
                12.6                -0.4             10223.5                   0                   0             1023.79
                12.6                -0.2             17935.1                   0                   0             1039.77
                12.8                -0.4             10377.7                   0                   0             1024.13
                12.8                -0.2             18188.9                   0                   0             1040.27
                  13                -0.4             10559.3                   0                   0             1024.52
                  13                -0.2             18434.5                   0                   0             1040.75
